,Neighborhood,Latitude,Longitude,zip_code
0,"Argyle, Jacksonville, FL",30.1969209,-81.7562816,32244
1,"Avondale, Jacksonville, FL",30.2967693,-81.7103155,32205
2,"Cedar Hills, Jacksonville, FL",30.253614,-81.7561379,32210
3,"Confederate Point, Jacksonville, FL",30.256893,-81.7363099,32210
4,"Lake Shore, Jacksonville, FL",30.28063,-81.7267341,32210
5,"Marietta, Jacksonville, FL",30.3343974,-81.8024796,32220
6,"Normandy, Jacksonville, FL",30.3115825,-81.7415075,32205
7,"Ortega, Jacksonville, FL",30.2662687,-81.7034734,32210
8,"Riverside, Jacksonville, FL",30.3129035,-81.6938933,32204
9,"Paxon, Jacksonville, FL",30.33858219999999,-81.7376778,32254
10,"Dinsmore, Jacksonville, FL",30.4238141,-81.77323349999999,32219
11,"Garden City, Jacksonville, FL",30.4407937,-81.698988,32218
12,"Durkeeville, Jacksonville, FL",30.34531429999999,-81.6742659,32209
13,"Oceanway, Jacksonville, FL",30.4669049,-81.6323187,32218
14,"San Mateo, Jacksonville, FL",30.4392557,-81.6117277,32218
15,"Arlington, Jacksonville, FL",30.3165143,-81.5588539,32216
16,"Baymeadows, Jacksonville, FL",30.2367222,-81.5591584,32256
17,"Lakewood, Jacksonville, FL",30.2635999,-81.6391263,32207
18,"Mandarin, Jacksonville, FL",30.1527497,-81.65282189999999,32223
19,"Sandalwood, Jacksonville, FL",30.3105172,-81.50824890000001,32246
20,"San Marco, Jacksonville, FL",30.304384,-81.650083,32207
21,"Springfield, Jacksonville, FL",30.3448058,-81.6555607,32206
